months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,zip_code,policyholder_gender,policyholder_occupation_sector,date_of_loss,loss_type,loss_location_address,loss_location_city,loss_location_state,time_of_loss,claim_amount,vehicle_year,vehicle_make,vehicle_model,vehicle_weight,previous_losses
249,39,8898209,ME,250/500,500,702.64,2000000,04101,Male,Finance,2025-06-17,Theft,4295 Maple St,Portland,ME,16:46,1060.0,2012,Tesla,Model 3,3600,No
15,56,9262061,NH,250/500,1000,897.42,0,03301,Male,Transportation,2023-06-27,Intersection,7933 Elm St,Concord,NH,17:30,8084.84,2017,Subaru,Outback,3600,No
43,70,7565656,TN,250/500,500,993.47,0,37203,Male,Education,2020-09-06,Intersection,7215 Maple St,Nashville,TN,19:44,1658.33,2024,Jeep,Grand Cherokee,4800,Yes
3,17,3193049,AL,250/500,500,846.75,0,35801,Male,Manufacturing,2021-03-30,Single vehicle,4872 Oak St,Huntsville,AL,14:30,5589.18,2023,Chevrolet,Silverado,4800,Yes
25,28,5179254,VA,250/500,1000,752.91,0,23219,Female,Manufacturing,2021-09-23,Animal,8220 Elm St,Richmond,VA,16:45,2678.62,2014,Ford,F-150,4600,No
55,25,5457188,KY,250/500,500,1094.49,0,40202,Male,Retail,2024-02-28,Rear-end,8667 Oak St,Louisville,KY,19:29,33632.1,2018,Honda,Civic,2900,No
1,38,7980591,AL,250/500,500,544.09,0,35801,Male,Manufacturing,2024-08-11,Single vehicle,7807 Elm St,Huntsville,AL,06:58,1372.98,2016,Honda,Civic,2900,No
9,36,7947586,VA,250/500,1000,641.94,2000000,23510,Male,Manufacturing,2025-08-31,Single vehicle,1768 Oak St,Norfolk,VA,00:57,1998.89,2014,Chevrolet,Silverado,4800,Yes
41,52,6287915,SC,500/1000,1000,754.8,0,29201,Male,Technology,2025-09-16,Theft,7681 Maple St,Columbia,SC,12:10,10998.51,2018,Subaru,Outback,3600,No
9,59,4257558,IN,250/500,500,450.0,0,46802,Female,Manufacturing,2022-10-28,Single vehicle,5239 Pine St,Fort Wayne,IN,15:56,13439.43,2017,Toyota,Camry,3300,No
56,44,9159021,VA,500/1000,500,866.17,0,23510,Female,Retail,2020-06-07,Intersection,7764 Maple St,Norfolk,VA,06:25,10819.71,2019,Toyota,Camry,3300,No
4,50,8257111,MI,500/1000,1000,675.15,0,49503,Female,Manufacturing,2020-05-18,Rear-end,2110 Maple St,Grand Rapids,MI,00:18,4993.31,2020,Hyundai,Elantra,2800,No
61,45,4614308,ME,500/1000,500,873.81,0,04401,Female,Finance,2023-07-24,Intersection,3998 Oak St,Bangor,ME,00:38,818.18,2020,Tesla,Model 3,3600,Yes
3,57,3349648,GA,250/500,500,688.43,0,31401,Female,Hospitality,2024-08-11,Vandalism,7870 Oak St,Savannah,GA,12:50,1972.94,2015,Honda,Civic,2900,No
110,42,7522891,OH,250/500,1000,673.16,0,43215,Female,Education,2022-11-08,Vandalism,8553 Elm St,Columbus,OH,23:20,12430.25,2012,Chevrolet,Silverado,4800,Yes
84,20,9484774,AL,250/500,500,881.7,0,35203,Male,Hospitality,2023-03-13,Theft,1032 Elm St,Birmingham,AL,02:13,4431.07,2012,Tesla,Model 3,3600,Yes
14,51,2974790,NH,250/500,1000,883.74,0,03101,Male,Healthcare,2022-12-17,Rear-end,5301 Pine St,Manchester,NH,01:36,21712.61,2020,Honda,Civic,2900,No
18,35,9035561,GA,500/1000,1000,1113.27,0,30303,Male,Education,2023-01-12,Single vehicle,7971 Oak St,Atlanta,GA,07:48,821.19,2019,Toyota,Camry,3300,No
36,34,7327800,IN,250/500,1000,640.49,0,46802,Male,Education,2023-06-29,Rear-end,9905 Maple St,Fort Wayne,IN,17:38,18389.03,2024,Jeep,Grand Cherokee,4800,No
4,34,5206402,IN,250/500,500,710.16,0,46802,Male,Finance,2024-06-27,Animal,396 Oak St,Fort Wayne,IN,16:14,1839.3,2012,Tesla,Model 3,3600,Yes
2,36,5376479,TN,250/500,500,979.32,0,37902,Female,Healthcare,2023-07-17,Single vehicle,5700 Oak St,Knoxville,TN,01:18,12812.46,2017,Ford,F-150,4600,No
129,70,1988182,NC,250/500,500,731.75,0,27601,Female,Hospitality,2021-01-09,Vandalism,9334 Pine St,Raleigh,NC,07:59,1561.04,2016,Hyundai,Elantra,2800,No
93,57,9282265,WI,250/500,500,693.63,0,53703,Male,Healthcare,2021-02-19,Theft,7800 Maple St,Madison,WI,07:51,5980.12,2016,Subaru,Outback,3600,No
1,71,7913771,VT,250/500,1000,1043.14,0,05602,Male,Transportation,2020-11-28,Intersection,2437 Oak St,Montpelier,VT,03:18,3466.69,2011,Jeep,Grand Cherokee,4800,No
22,50,9767067,OH,500/1000,500,1024.21,1000000,43215,Female,Manufacturing,2020-02-23,Single vehicle,1755 Pine St,Columbus,OH,03:20,6528.49,2018,Hyundai,Elantra,2800,No
8,45,4852792,MI,250/500,1000,777.91,0,48201,Female,Hospitality,2021-02-25,Single vehicle,4242 Elm St,Detroit,MI,08:25,8296.28,2016,Subaru,Outback,3600,No
25,65,7984502,MI,250/500,1000,1004.75,2000000,48201,Male,Retail,2025-01-25,Rear-end,7064 Pine St,Detroit,MI,08:52,2239.95,2014,Jeep,Grand Cherokee,4800,No
70,37,2202776,ME,250/500,500,711.12,0,04101,Female,Education,2024-05-11,Animal,2194 Oak St,Portland,ME,03:30,1930.68,2020,Hyundai,Elantra,2800,No
6,34,6514764,TN,250/500,500,829.72,2000000,37902,Male,Transportation,2020-09-19,Theft,8487 Elm St,Knoxville,TN,07:42,7250.41,2022,Tesla,Model 3,3600,No
7,52,4352991,SC,500/1000,500,1168.05,0,29401,Female,Manufacturing,2022-04-04,Single vehicle,250 Maple St,Charleston,SC,16:51,3546.21,2021,Honda,Civic,2900,No
56,38,5525977,NC,250/500,1000,659.04,0,27601,Female,Manufacturing,2020-01-19,Theft,5252 Pine St,Raleigh,NC,03:12,1074.96,2023,Chevrolet,Silverado,4800,No
56,49,8185385,SC,500/1000,1000,669.6,0,29201,Male,Technology,2021-02-18,Vandalism,6413 Maple St,Columbia,SC,09:05,2808.23,2010,Chevrolet,Silverado,4800,Yes
54,44,2623196,NC,250/500,1000,820.81,0,27601,Female,Education,2023-07-26,Intersection,6191 Pine St,Raleigh,NC,16:15,9307.41,2021,Subaru,Outback,3600,No
3,23,6295964,IN,250/500,1000,1008.02,0,46802,Female,Technology,2023-12-29,Animal,7850 Maple St,Fort Wayne,IN,06:35,5924.99,2022,Toyota,Camry,3300,No
135,57,4357619,VA,250/500,1000,492.63,2000000,23510,Female,Hospitality,2021-12-05,Intersection,8544 Elm St,Norfolk,VA,13:55,2177.03,2018,Hyundai,Elantra,2800,Yes
1,43,5747810,GA,250/500,500,556.76,0,31401,Female,Education,2023-03-25,Single vehicle,7060 Maple St,Savannah,GA,02:25,15497.05,2012,Tesla,Model 3,3600,No
19,64,2158366,IN,250/500,500,450.0,0,46204,Male,Healthcare,2024-01-01,Single vehicle,9982 Oak St,Indianapolis,IN,23:54,11065.99,2018,Jeep,Grand Cherokee,4800,Yes
119,51,5426607,VT,250/500,500,489.68,0,05602,Male,Healthcare,2022-08-26,Vandalism,2702 Maple St,Montpelier,VT,21:14,8234.7,2019,Tesla,Model 3,3600,No
20,67,4568443,NC,250/500,500,656.29,1000000,27601,Female,Transportation,2023-07-21,Intersection,465 Pine St,Raleigh,NC,09:07,4033.55,2011,Jeep,Grand Cherokee,4800,Yes
64,34,6883349,VA,250/500,500,585.87,0,23510,Male,Manufacturing,2025-05-06,Theft,7671 Elm St,Norfolk,VA,19:08,816.94,2019,Hyundai,Elantra,2800,No
98,35,1319245,TN,500/1000,1000,808.86,0,37902,Female,Education,2022-01-10,Intersection,6278 Elm St,Knoxville,TN,23:51,2335.86,2019,Hyundai,Elantra,2800,No
181,50,9907893,WI,250/500,1000,833.36,0,53202,Male,Manufacturing,2024-07-13,Single vehicle,7540 Maple St,Milwaukee,WI,22:30,2291.7,2017,Chevrolet,Silverado,4800,No
9,44,2255941,IN,250/500,500,704.75,2000000,46204,Male,Manufacturing,2023-06-16,Rear-end,7859 Elm St,Indianapolis,IN,05:41,4472.79,2011,Chevrolet,Silverado,4800,No
65,35,6271343,VA,250/500,500,708.83,0,23219,Male,Transportation,2023-02-13,Rear-end,3251 Maple St,Richmond,VA,10:30,7748.37,2013,Chevrolet,Silverado,4800,No
82,30,6140351,NH,250/500,1000,615.02,0,03301,Female,Healthcare,2020-10-15,Theft,6227 Pine St,Concord,NH,09:23,3765.56,2012,Chevrolet,Silverado,4800,No
6,79,3619208,KY,250/500,1000,1356.55,0,40202,Female,Retail,2022-05-09,Intersection,5640 Pine St,Louisville,KY,15:56,4603.08,2024,Chevrolet,Silverado,4800,Yes
22,24,4224836,VA,250/500,500,1058.57,0,23510,Female,Finance,2020-02-03,Single vehicle,2492 Pine St,Norfolk,VA,17:01,4311.05,2018,Jeep,Grand Cherokee,4800,No
43,47,9141607,OH,250/500,1000,616.95,0,44114,Male,Retail,2020-09-19,Theft,6013 Oak St,Cleveland,OH,06:04,4528.42,2013,Chevrolet,Silverado,4800,No
40,39,7101869,VT,250/500,1000,835.26,0,05401,Male,Education,2022-12-13,Rear-end,5946 Maple St,Burlington,VT,09:31,1328.05,2020,Tesla,Model 3,3600,No
153,51,6461153,AL,250/500,500,450.0,1000000,35203,Female,Transportation,2024-02-19,Animal,3728 Pine St,Birmingham,AL,19:36,9489.06,2014,Chevrolet,Silverado,4800,No
23,51,2490876,TN,250/500,500,749.36,0,37902,Female,Manufacturing,2024-07-03,Single vehicle,2167 Maple St,Knoxville,TN,14:10,11893.3,2015,Subaru,Outback,3600,No
160,66,4475768,NH,250/500,500,720.81,0,03101,Male,Hospitality,2022-05-18,Intersection,2831 Pine St,Manchester,NH,06:14,5226.53,2014,Toyota,Camry,3300,Yes
22,47,4264062,NH,250/500,500,588.8,0,03101,Female,Manufacturing,2024-05-30,Intersection,8866 Elm St,Manchester,NH,20:25,4498.52,2015,Ford,F-150,4600,No
121,56,9578655,KY,250/500,500,450.0,1000000,40507,Male,Education,2025-04-26,Animal,3936 Elm St,Lexington,KY,05:04,2758.21,2019,Toyota,Camry,3300,No
36,60,7080113,TN,250/500,500,996.33,0,37902,Male,Transportation,2020-06-08,Animal,178 Elm St,Knoxville,TN,21:06,50040.08,2023,Ford,F-150,4600,No
20,53,9172481,NC,500/1000,500,650.39,0,27601,Female,Hospitality,2023-10-11,Intersection,8453 Elm St,Raleigh,NC,13:16,10927.31,2015,Ford,F-150,4600,No
82,54,8625386,KY,500/1000,500,635.57,0,40202,Male,Healthcare,2024-07-25,Rear-end,2554 Oak St,Louisville,KY,11:12,25679.25,2012,Hyundai,Elantra,2800,Yes
102,51,2908512,ME,500/1000,500,621.8,2000000,04101,Male,Manufacturing,2024-01-30,Rear-end,3077 Oak St,Portland,ME,02:02,2180.58,2020,Jeep,Grand Cherokee,4800,Yes
24,17,5528499,SC,250/500,1000,907.05,0,29401,Male,Education,2024-08-25,Single vehicle,4068 Oak St,Charleston,SC,19:01,2693.33,2017,Toyota,Camry,3300,No
39,45,3677374,NH,250/500,500,854.35,0,03101,Male,Retail,2023-06-25,Intersection,1300 Pine St,Manchester,NH,11:37,949.62,2017,Ford,F-150,4600,No
24,43,2482746,VT,500/1000,500,854.83,0,05602,Male,Transportation,2021-09-30,Single vehicle,1566 Elm St,Montpelier,VT,00:47,2129.09,2015,Hyundai,Elantra,2800,No
6,21,7652225,IN,500/1000,500,1120.38,0,46204,Male,Education,2024-12-07,Theft,8572 Elm St,Indianapolis,IN,20:54,15461.47,2011,Ford,F-150,4600,No
81,45,4731838,ME,250/500,500,623.66,2000000,04401,Female,Finance,2025-02-20,Intersection,8470 Pine St,Bangor,ME,16:11,9179.23,2015,Honda,Civic,2900,No
3,63,5523504,NH,500/1000,500,1015.73,0,03301,Male,Manufacturing,2020-10-08,Intersection,5516 Maple St,Concord,NH,23:19,2850.06,2017,Tesla,Model 3,3600,No
7,28,4257635,IL,500/1000,500,1131.9,0,60505,Female,Retail,2024-03-25,Rear-end,3687 Elm St,Aurora,IL,15:54,5734.06,2016,Jeep,Grand Cherokee,4800,No
66,43,1784854,AL,250/500,1000,576.45,0,35801,Female,Finance,2020-11-25,Theft,8441 Oak St,Huntsville,AL,03:21,4752.11,2017,Honda,Civic,2900,No
81,35,3037398,IN,500/1000,500,579.97,0,46802,Female,Finance,2025-05-25,Intersection,8057 Maple St,Fort Wayne,IN,19:10,663.98,2017,Hyundai,Elantra,2800,No
23,64,6224858,MI,250/500,1000,902.18,0,48201,Male,Hospitality,2021-09-04,Animal,4831 Oak St,Detroit,MI,16:05,5753.31,2021,Honda,Civic,2900,No
27,63,7096821,ME,250/500,500,702.34,0,04401,Female,Hospitality,2025-12-15,Animal,2473 Pine St,Bangor,ME,04:57,5702.7,2022,Toyota,Camry,3300,No
