months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,zip_code,policyholder_gender,policyholder_occupation_sector,date_of_loss,loss_type,loss_location_address,loss_location_city,loss_location_state,time_of_loss,claim_amount,vehicle_year,vehicle_make,vehicle_model,vehicle_weight,previous_losses
33,36,4303931,SC,500/1000,500,903.62,0,29201,Female,Finance,,,,,,,,2013,Toyota,RAV4,3600,No
1,19,8255236,IN,250/500,500,849.35,0,46204,Female,Technology,,,,,,,,2022,Honda,Civic,2900,No
43,38,7415049,IL,250/500,500,474.29,0,60505,Male,Retail,2022-09-08,Theft,2253 Oak St,Aurora,IL,02:29,7042.71,2014,Toyota,RAV4,3600,No
102,46,6847135,IL,250/500,500,855.83,1000000,60505,Male,Healthcare,2024-09-08,Animal,9335 Pine St,Aurora,IL,06:33,4386.06,2024,Hyundai,Elantra,2800,No
11,39,1164539,OH,250/500,500,514.04,0,43215,Male,Transportation,,,,,,,,2016,Toyota,Camry,3300,No
300,57,7525132,VT,250/500,500,799.48,0,05401,Male,Technology,,,,,,,,2023,Toyota,Corolla,3000,No
4,57,2943569,VA,250/500,1000,1074.74,2000000,23219,Male,Education,2020-05-10,Single vehicle,3449 Pine St,Richmond,VA,18:03,7080.51,2022,Nissan,Rogue,3600,Yes
6,59,4878716,NH,250/500,500,711.1,0,03301,Male,Finance,2023-09-13,Vandalism,8749 Elm St,Concord,NH,21:37,9094.41,2010,Nissan,Rogue,3600,No
62,63,9192610,NH,250/500,500,742.86,1000000,03101,Female,Education,,,,,,,,2021,Toyota,Corolla,3000,No
27,26,6207207,AL,500/1000,500,915.41,0,35203,Male,Technology,2020-11-19,Vandalism,4693 Pine St,Birmingham,AL,12:43,7181.98,2019,Tesla,Model Y,4400,No
11,32,2153624,TN,250/500,500,933.96,0,37902,Female,Technology,,,,,,,,2021,Volkswagen,Tiguan,3800,No
62,39,2832457,TN,250/500,500,1098.81,1000000,37203,Female,Education,,,,,,,,2018,Nissan,Rogue,3600,No
53,45,3520461,IL,250/500,500,450.0,1000000,60505,Female,Education,,,,,,,,2017,Nissan,Altima,3200,No
56,53,8822451,IL,250/500,1000,1054.86,0,60601,Female,Education,,,,,,,,2023,Tesla,Model 3,3600,No
13,62,1619165,OH,500/1000,1000,690.36,0,43215,Male,Hospitality,2021-08-29,Single vehicle,8438 Oak St,Columbus,OH,01:55,25654.7,2012,Ford,Escape,3500,No
78,75,5031156,NH,250/500,500,843.54,2000000,03301,Male,Education,,,,,,,,2019,Jeep,Grand Cherokee,4800,No
12,33,5612068,MI,500/1000,1000,958.0,0,48201,Female,Transportation,,,,,,,,2017,Toyota,RAV4,3600,No
47,46,4133504,WI,250/500,500,450.0,0,53202,Male,Transportation,,,,,,,,2015,Chevrolet,Malibu,3400,No
9,49,1622852,GA,250/500,1000,450.0,0,31401,Male,Healthcare,2023-08-08,Rear-end,4913 Maple St,Savannah,GA,11:39,3214.29,2009,Subaru,Forester,3500,No
16,45,6937782,KY,250/500,500,745.92,0,40202,Female,Hospitality,,,,,,,,2015,Toyota,Corolla,3000,No
47,49,9845351,GA,250/500,500,742.03,0,31401,Female,Healthcare,,,,,,,,2018,Subaru,Outback,3600,No
41,40,8652253,VA,250/500,500,767.03,0,23219,Female,Hospitality,2021-05-20,Intersection,5970 Pine St,Richmond,VA,21:56,2686.36,2012,Kia,Sorento,4100,No
15,17,4123444,WI,500/1000,500,1243.72,2000000,53703,Male,Manufacturing,,,,,,,,2012,Toyota,Camry,3300,No
3,24,7953136,SC,250/500,500,1566.99,0,29201,Male,Healthcare,,,,,,,,2017,Nissan,Rogue,3600,Yes
63,47,3704126,VT,500/1000,500,450.0,0,05401,Male,Retail,,,,,,,,2012,Chevrolet,Silverado,4800,No
6,60,8017880,NC,500/1000,500,994.58,0,27601,Female,Manufacturing,,,,,,,,2018,Toyota,RAV4,3600,No
68,35,5524846,GA,250/500,500,841.0,0,31401,Female,Manufacturing,2020-11-30,Theft,3482 Oak St,Savannah,GA,11:22,16805.77,2013,Kia,Sportage,3500,No
157,69,9900208,SC,500/1000,500,457.91,0,29401,Male,Education,,,,,,,,2015,Jeep,Grand Cherokee,4800,No
